id,device_id,product_code_id,is_primary
941,K761080,FYC,1
942,K761081,KOC,1
943,K761082,KOC,1
944,K761083,EXR,1
945,K761086,JJC,1
946,K761087,DWJ,1
947,K761088,JEC,1
948,K761089,CHH,1
949,K761090,JQB,1
950,K761091,JPA,1
951,K761093,FRO,1
952,K761094,KGL,1
953,K761095,HAO,1
954,K761096,GAD,1
955,K761097,HAO,1
956,K761098,FMI,1
957,K761099,FRL,1
958,K761100,JQQ,1
959,K761103,ESD,1
960,K761104,ILC,1
961,K761105,ILC,1
962,K761106,ILC,1
963,K761107,ILC,1
964,K761108,KME,1
965,K761109,KME,1
966,K761110,KMN,1
967,K761111,ILC,1
968,K761112,ILC,1
969,K761113,ILC,1
970,K761114,IPM,1
971,K761115,IKW,1
972,K761116,ILT,1
973,K761117,ILP,1
974,K761118,IOD,1
975,K761119,IOD,1
976,K761120,ION,1
977,K761121,IRO,1
978,K761122,IKW,1
979,K761123,ILW,1
980,K761124,IKW,1
981,K761125,ILS,1
982,K761126,ILS,1
983,K761127,ILS,1
984,K761128,IPT,1
985,K761129,ILS,1
986,K761130,ILS,1
987,K761131,ILH,1
988,K761132,GWX,1
989,K761133,GXB,1
990,K761134,ILH,1
991,K761135,ION,1
992,K761136,CHH,1
993,K761137,GKH,1
994,K761138,LDZ,1
995,K761139,HGM,1
996,K761140,CBN,1
997,K761142,FST,1
998,K761143,DXY,1
999,K761144,KOD,1
1000,K761145,KPI,1
1001,K761146,JDG,1
1002,K761147,FPO,1
1003,K761148,CGA,1
1004,K761149,JTC,1
1005,K761150,HRS,1
1006,K761151,FRN,1
1007,K761152,CDL,1
1008,K761153,CGA,1
1009,K761154,CGA,1
1010,K761155,HOZ,1
1011,K761156,DAS,1
1012,K761157,DJB,1
1013,K761158,FMF,1
1014,K761159,IYX,1
1015,K761160,CAD,1
1016,K761161,DWS,1
1017,K761162,CAZ,1
1018,K761163,HQG,1
1019,K761165,JJC,1
1020,K761166,DXG,1
1021,K761167,FCE,1
1022,K761168,DPM,1
1023,K761169,DXC,1
1024,K761170,JCE,1
1025,K761171,JPA,1
1026,K761172,JPA,1
1027,K761173,JPA,1
1028,K761174,JCE,1
1029,K761175,JPA,1
1030,K761176,JPA,1
1031,K761177,GJE,1
1032,K761179,FTC,1
1033,K761180,FAM,1
1034,K761181,CGA,1
1035,K761182,GGK,1
1036,K761183,JCE,1
1037,K761184,HIL,1
1038,K761186,FTC,1
1039,K761187,FTC,1
1040,K761188,FTC,1
1041,K761189,FTC,1
1042,K761190,BTO,1
1043,K761191,FMH,1
1044,K761192,JOK,1
1045,K761193,KDD,1
1046,K761194,DRM,1
1047,K761195,CAO,1
1048,K761196,CBN,1
1049,K761197,JIT,1
1050,K761198,DPS,1
1051,K761199,GAP,1
1052,K761200,CDT,1
1053,K761201,HGM,1
1054,K761202,KDQ,1
1055,K761203,EKN,1
1056,K761204,KKX,1
1057,K761205,HEX,1
1058,K761206,DZM,1
1059,K761207,GKZ,1
1060,K761208,GKZ,1
1061,K761209,JTO,1
1062,K761210,DRW,1
1063,K761211,DRT,1
1064,K761212,JHY,1
1065,K761213,CAW,1
1066,K761214,JJJ,1
1067,K761215,HPG,1
1068,K761216,ESD,1
1069,K761217,CEK,1
1070,K761218,CIG,1
1071,K761219,KIE,1
1072,K761220,IPF,1
1073,K761221,GEI,1
1074,K761223,ESD,1
1075,K761224,DEW,1
1076,K761225,DCF,1
1077,K761226,JSQ,1
1078,K761228,DZL,1
1079,K761229,KOA,1
1080,K761230,HIO,1
1081,K761231,GEI,1
1082,K761232,KHE,1
1083,K761233,HHL,1
1084,K761235,JZW,1
1085,K761236,JZW,1
1086,K761237,DXY,1
1087,K761238,CEO,1
1088,K761239,CEO,1
1089,K761240,CFR,1
1090,K761241,JTX,1
1091,K761242,FJL,1
1092,K761243,JDG,1
1093,K761244,FLL,1
1094,K761246,ELC,1
1095,K761247,ELC,1
1096,K761248,JJN,1
1097,K761249,DRX,1
1098,K761250,JCA,1
1099,K761251,HNR,1
1100,K761252,HNR,1
1101,K761253,HND,1
1102,K761254,ILO,1
1103,K761255,FLL,1
1104,K761257,CEK,1
1105,K761258,BTO,1
1106,K761259,GYE,1
1107,K761260,BXP,1
1108,K761261,CDQ,1
1109,K761262,CDT,1
1110,K761263,CHH,1
1111,K761264,DYN,1
1112,K761265,KPQ,1
1113,K761267,CIB,1
1114,K761268,FMP,1
1115,K761269,CKA,1
1116,K761270,JZP,1
